Column,Description,Levels / Range,Type
Limb.Morphology,"Limb morphology as categorical variable, consisting of ""Plantigrade"" or walking on soles of feet; ""Digitigrade"" or walking on toes of feet; and ""Unguligrade"" or walking on hoof. ","""Plantigrade"", ""Digitigrade"", ""Unguligrade""",Categorical
Limb.Morphology.Method,"Method used to assign limb morphology. Primarily inferred within Family, or observed directly from morphological or observational evidence.",N/A,Text annotation
Limb.Morphology.Method.Reliability,"Ordinal ranking of best available evidence quality, with direct observed evidence ranking highest (3), and expert opinions and taxonomic inference ranking lowest (0) (see Table 2).",0 - 3,Ordinal
Limb.Morphology.Notes,Notes and justification for limb morphology designation.,N/A,Text annotation
Limb.Morphology.Reference,Limb morphology references.,20 references,Text annotation
Habitat.Aquatic,"Non-exclusive binary variable indicating use of aquatic habitats. 1 indicates significant use of aquatic habitat, 0 indicates non-significant use.",0 / 1,Binary
Habitat.Terrestrial,"Non-exclusive binary variable indicating use of terrestrial habitat. 1 indicates significant use of terrestrial habitat, 0 indicates non-significant use (in this case only for completely arboreal primate species).",0 / 1,Binary
Habitat.Arboreal,"Non-exclusive binary variable indicating use of arboreal habitats. 1 indicates significant use of arboreal habitat, 0 indicates non-significant use.",0 / 1,Binary
Habitat.Categorical,"Habitat as a categorical variable, consisting of ""Semi.Aquatic"" (1 for Habitat.Aquatic and 1 for Habitat.Terrestrial), ""Terrestrial"" (1 for Habitat.Terrestrial and 0 for any other), ""Semi.Arboreal"" (1 for Habitat.Terrestrial and 1 for Habitat.Arboreal), or ""Arboreal"" (0 for Habitat.Terrestrial and 1 for Habitat.Arboreal).","""Semi.Aquatic"", ""Terrestrial"", ""Semi.Arboreal"", ""Arboreal""",Categorical
Habitat.Method,Method used to assign habitat use.,N/A,Text annotation
Habitat.Method.Reliability,"Ordinal ranking of best available evidence quality, with direct observed evidence ranking highest (3), and expert opinions and taxonomic inference ranking lowest (0) (see Table 2).",0 - 3,Ordinal
Habitat.Notes,Natural history notes and justification for habitat designation.,N/A,Text annotation
Habitat.Reference,Habitat references.,138 references,Text annotation
,,,
,,,
,,,
,,,
,,,
"*Note that special characters (e.g. accent marks, umlauts, Greek and latin characters, isotope symbols) have been removed from all text and from References to prevent character corruption with import and export into softwares such as R.",,,
