"","Binomial","Common.Name","Species.Status","Domesticated","Class","Order","Family","Mass.g","Mass.Method","Mass.Method.Reliability","Mass.Notes","Mass.Reference","Diet.Graminoids","Diet.Browse.Fruit","Diet.Meat","Guild.only.Herbivory","Guild.w.Omnivory","Diet.Method","Diet.Method.Reliability","Diet.Notes","Diet.Reference","Fermentation.Type","Fermentation.Efficiency","Fermentation.Type.Method","Fermentation.Type.Method.Reliability","Fermentation.Type.Notes","Fermentation.Type.Reference","Limb.Morphology","Limb.Morphology.Method","Limb.Morphology.Method.Reliability","Limb.Morphology.Notes","Limb.Morphology.Reference","Habitat.Aquatic","Habitat.Terrestrial","Habitat.Arboreal","Habitat.Categorical","Habitat.Method","Habitat.Method.Reliability","Habitat.Notes","Habitat.Reference"
"179","Equus kiang","Kiang","Extant",0,"Mammalia","Perissodactyla","Equidae",250000,"Extant species (method unknown, presume measured)",0,"","Wilson and Mittermeier 2011 Handbook of the Mammals of the World",3,1,0,"Grazer","Grazer","Observed fecal analysis; Observed foraging",3,"In their Mammalian Species review on E. kiang diet, St-Louis and Cote (2009) indicate a strong preference for graminoids, which compose up to 90% of their diet. However, as in other equids, during drought or in deserts, kiang have been observed feeding almost entirely on dug up roots.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; St-Louis and Cote 2009 Mammalian Species","Hindgut Colon",1,"Inferred from Family",2,"Hindgut colon fermenting species sacrifice fermentation efficiency (e.g. completeness) for rate of passage. Cell-walls are only partially digested, but without the chokepoint provided by the rumen, they can continually consume vegetation thus meeting their nutrient demands. As such they are also able to consume lower-quality vegetation.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed habitat use",3,"A high elevation species of the Tibetan plateau, this ass occurs in alpine meadows, steppes, and desert steppes.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology"
"180","Equus ovodovi","","Extinct before 1500 CE",0,"Mammalia","Perissodactyla","Equidae",227130,"Inferred from relative of suggested similar size",0,"Assumed of a similar size as Equus hydruntinus","Faurby et al. 2018 Ecology",3,1,0,"Grazer","Grazer","Imputed",0,"No empirical proxy evidence found","","Hindgut Colon",1,"Inferred from Family",2,"Hindgut colon fermenting species sacrifice fermentation efficiency (e.g. completeness) for rate of passage. Cell-walls are only partially digested, but without the chokepoint provided by the rumen, they can continually consume vegetation thus meeting their nutrient demands. As such they are also able to consume lower-quality vegetation.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Inferred from Genus; Inferred from absence of evidence",0,"Given the conservativeness of Equid terrestriality, this species was almost certainly terrestrial.",""
"181","Equus quagga","Plains Zebra","Extant",0,"Mammalia","Perissodactyla","Equidae",175000,"Extant species (method unknown, presume measured)",0,"","Wilson and Mittermeier 2011 Handbook of the Mammals of the World",3,0,0,"Grazer","Grazer","Observed fecal analysis; Observed foraging",3,"Well-reviewed by Kingdon et al. 2013 Mammals of Africa: over 90% of diet is grass, the rest being herbaceous forbs, potentially eaten by accident. Observational evidence indicates that, while usually eating species proportional to their availability, they can be selective about grass species, with certain grass species contributing 40% of diet, despite their abundance. Only in extreme drought do they consume shrubs. Usually, during dry seasons, they consume dry grass stems, which are unpalatable to other grazers.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Kingdon et al. 2013 Mammals of Africa","Hindgut Colon",1,"Inferred from Family",2,"Hindgut colon fermenting species sacrifice fermentation efficiency (e.g. completeness) for rate of passage. Cell-walls are only partially digested, but without the chokepoint provided by the rumen, they can continually consume vegetation thus meeting their nutrient demands. As such they are also able to consume lower-quality vegetation.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed habitat use",3,"Plains zebras are species of tropical, subtropical, and temperate grasslands, savannas, and open woodlands. They occur from sea level to 300 m. This species avoids deserts, dense woodlands, and permanent wetlands. They require water daily.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology"
"182","Equus zebra","Mountain Zebra","Extant",0,"Mammalia","Perissodactyla","Equidae",240000,"Extant species (method unknown, presume measured)",0,"","Wilson and Mittermeier 2011 Handbook of the Mammals of the World",3,0,0,"Grazer","Grazer","Observed foraging",3,"Selective grazers of coarse grasses, mountain zebras rarely consume woody vegetation. Graze grasses to 40-80mm above ground, except when removing grass heads of tall bunchgrasses (Kingdon et al. 2013 Mammals of Africa)","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Kingdon et al. 2013 Mammals of Africa","Hindgut Colon",1,"Inferred from Family",2,"Hindgut colon fermenting species sacrifice fermentation efficiency (e.g. completeness) for rate of passage. Cell-walls are only partially digested, but without the chokepoint provided by the rumen, they can continually consume vegetation thus meeting their nutrient demands. As such they are also able to consume lower-quality vegetation.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed habitat use",3,"This species lives in mountainous slopes and plateaus up to 2000 m in elevation. No significant aquatic habitat usage.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology"
"183","Eremotherium laurillardi","","Extinct before 1500 CE",0,"Mammalia","Pilosa","Megatheriidae",3961480,"Proxy allometric relationship (femur length)",2,"McDonald 2005 provides two mass estimates for Eremotherium laurillardi (3148.54 kg and 3961.48 kg). PHYLACINE v1.2 uses the upper estimate only. Our mass estimates are derived from PHYLACINE so we follow this decision.","Davis 2017 Proceedings of the Royal Society B; McDonald 2005 Bulletin of the Florida Museum of Natural History",3,3,0,"Mixed Feeder","Mixed Feeder","Proxy isotopes (C13, O18)",2,"Omena et al. 2020 incorporated Dantas et al. 2013's isotopic data and concluded that indeed this species was a mixed feeder, however, that it fed more on C4 plants than C3. Oliveira et al. 2020 concurred, as did Dantas et al. 2020. Opposite results, by Pansani et al. 2019, indicated a browser diet with a preference for C3 grasses. Dantas et al. 2017 found that some individuals show as pure browsers, some as classic mixed feeders, and some as pure grazers. This evidence in sum indicates a mixed feeding diet with high degree of variation across their range.","Dantas et al. 2013 Quaternary Research; Dantas et al. 2017 Quaternary Science Reviews; Omena et al. 2020 Historical Biology; Pansani et al. 2019 Quaternary Science Reviews; Dantas et al. 2020 Quaternary Science Reviews; de Oliveira et al. 2020 Journal of South American Earth Sciences","Foregut Non-ruminant",2,"Inferred from Suborder",0,"Smith et al. 2010 Nature Geoscience lists sloths as hindgut fermenters, because of their body size. However, all extant sloth species are foregut fermenters (Clauss 2004 Mammal Review). Fermentation type is a conservative trait, and extant two-toed and three-toed sloth species are more closely related to various of the now-extinct ground sloths than they are to each other (Pujos et al. 2012 Journal of Mammalian Evolution; Presslee et al. 2019 Nature Ecology and Evolution). Foregut fermentation is either the ancestral fermentation type of all sloth species, or it evolved at least twice in distinct (extant) sloth lineages. The most parsimonious fermentation type for extinct sloths would thus be foregut fermentation. However, Megatheriids pose a biological anamoly as there are no foregut fermentation species known at those body sizes (largest known was Sivatherium, a giraffid at 1250 kg). Vizcaino et al. 2006 and Clauss et al. 2003 suggests therefore that the extremely large Megatheriid sloths (Genera Megatherium and Eremotherium) may have been hindgut fermenters. As is, without better evidence, we will consider all sloths outliers in the ilk of Sivatherium and classify them as foregut fermenters until better evidence is available.","McDonald and Pelikan 2006 Quaternary International; Clauss 2004 Mammal Review; Pujos et al. 2012 Journal of Mammalian Evolution; Presslee et al. 2019 Nature Ecology and Evolution; Vizcaino et al. 2006 Ameghiniana; Clauss et al. 2003 Oecologia","Plantigrade","Inferred from Family",2,"Most taxa had the capacity, given their wide structural vertebral, to forage upright, resting on their tail. Appendicular morphology, particularly of the humerus, of all sloth families, other than the Mylodontidae, suggest a generalized locomotion habit (de Oliveira and Santos 2008).","Naish 2012 Tetrapod Zoology; de Oliveira and Santos 2018 Journal of Morphology",0,1,0,"Terrestrial","Functional morphology",1,"Functional morphology suggests a terrestrial habit.","Pujos et al. 2012 Journal of Mammalian Evolution"
"184","Euceratherium collinum","Shrub-ox","Extinct before 1500 CE",0,"Mammalia","Cetartiodactyla","Bovidae",450000,"Method unknown",0,"Primary source inaccessible. We could only access one of the primary sources: Stuart 1991 iological Reviews of the Cambridge Philosophical Society. This paper provides a mass estimate of 325 kg (no method provid) so we assume the estimate listed in Smith 2003 comes from the other source: Murray, P. 1991. The Pleistocene megafauna of Australia. In Vertebrate palaeontology of Australasia (P. Vickers-Rich, J.M. Mongahan, R.F. Baird, and T.H. Rich, eds.), pp. 1070-1164.","Smith et al. 2003 Ecology",0,3,0,"Browser","Browser","Functional craniodental morphology; Observed coprolites",3,"Coprolites (n=12) in the Grand Canyon contained <5% grass and were dominated by Artemisia tridentata (sagebrush), Acacia sp, Oenotheria (evening primrose), Quercus (oak), Rhus sp (sumac), and Chrysothamnus sp. This evidence is supported by craniodental morphology that indicates adaptations to browsing.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Kingdon et al. 2013 Mammals of Africa; Kropf et al. 2007 Quaternary Research","Foregut Ruminant",3,"Inferred from Family",2,"Ruminants possess complex foregut digestive systems that are highly efficient at breaking down cellulose and lignin. However, passage to the stomach and intestine, where nutrients are absorbed, is slowed by this very thorough process. This puts chokepoint on their food consumption rates, increases retention length, and increases their need for high-nutrient low-fiber food items. For example, a bovid requires higher nutrient and lower fiber food than a similar sized hindgut fermenting species.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Inferred from Family",2,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Inferred from vegetation association",2,"Shrub-ox on the Colorado plateau lived in an open steppe habitat of grass, sagebrush (Artemisia) and oaks.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology"
"185","Eudorcas albonotata","Mongalla Gazelle","Extant",0,"Mammalia","Cetartiodactyla","Bovidae",25000,"Extant species (method unknown, presume measured)",0,"","Wilson and Mittermeier 2011 Handbook of the Mammals of the World",3,2,0,"Mixed Feeder","Mixed Feeder","Observed low sample size (1-5) foraging observation",1,"Little known about this species, but it is primarily a grazer that switches to browse during the dry season.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Kingdon et al. 2013 Mammals of Africa; Kingdon et al. 2013 Mammals of Africa","Foregut Ruminant",3,"Inferred from Family",2,"Ruminants possess complex foregut digestive systems that are highly efficient at breaking down cellulose and lignin. However, passage to the stomach and intestine, where nutrients are absorbed, is slowed by this very thorough process. This puts chokepoint on their food consumption rates, increases retention length, and increases their need for high-nutrient low-fiber food items. For example, a bovid requires higher nutrient and lower fiber food than a similar sized hindgut fermenting species.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed habitat use",3,"Mongalla gazelles live in open grassland to light savanna woodland","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Kingdon et al. 2013 Mammals of Africa"
"186","Eudorcas rufifrons","Red-fronted Gazelle","Extant",0,"Mammalia","Cetartiodactyla","Bovidae",26999.8,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",3,3,0,"Mixed Feeder","Mixed Feeder","Expert Opinion; Observed low sample size (1-5) evidence",1,"Prefers grasses during wet season and trees and shrubs during dry season. Described as a fully mixed feeder by Wilson and Mittermeier. No empirical studies found, only anecdotal evidence.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Kingdon et al. 2013 Mammals of Africa","Foregut Ruminant",3,"Inferred from Family",2,"Ruminants possess complex foregut digestive systems that are highly efficient at breaking down cellulose and lignin. However, passage to the stomach and intestine, where nutrients are absorbed, is slowed by this very thorough process. This puts chokepoint on their food consumption rates, increases retention length, and increases their need for high-nutrient low-fiber food items. For example, a bovid requires higher nutrient and lower fiber food than a similar sized hindgut fermenting species.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed habitat use",3,"Red-fronted gazelles live in dry grassland and open savanna, sometimes preferring cultivated areas because of the increased openness of the habitat. In their northern, more arid, range they spend considerable time in shadier wadi habitats.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Kingdon et al. 2013 Mammals of Africa"
"187","Eudorcas thomsonii","Thomson's Gazelle","Extant",0,"Mammalia","Cetartiodactyla","Bovidae",20499.8,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",3,2,0,"Mixed Feeder","Mixed Feeder","Functional craniodental morphology; Observed fecal analysis; Proxy isotopes (C13)",3,"Thomson's gazelle's wet season diet is 80-90% grasses. During dry season, browse comprises up to 40%. Carbon isotope data supports this.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Lazagabaster et al. 2016 Journal of Mammalian Evolution","Foregut Ruminant",3,"Inferred from Family",2,"Ruminants possess complex foregut digestive systems that are highly efficient at breaking down cellulose and lignin. However, passage to the stomach and intestine, where nutrients are absorbed, is slowed by this very thorough process. This puts chokepoint on their food consumption rates, increases retention length, and increases their need for high-nutrient low-fiber food items. For example, a bovid requires higher nutrient and lower fiber food than a similar sized hindgut fermenting species.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed habitat use",3,"Thomson's gazelles live in dry grassland, open steppe, and thorn bushlands. In the wetter parts of their range they avoid the thick cracking clay soils when wet, and move to lighter, well-draining soils during the wet season.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Kingdon et al. 2013 Mammals of Africa"
"188","Euryapteryx curtus","Coastal Moa","Extinct before 1500 CE",0,"Aves","Dinornithiformes","Emeidae",22650,"Proxy allometric relationship (femur length)",2,"The species possessed strong sexual dimorphism. The value is the mean of the median male (17.2 kg) and female (28.1 kg) body mass.","Olson and Turvey 2013 Proceedings of the Royal Society B",1,3,0,"Browser","Browser","Observed coprolites",3,"Coprolites and gizzards indicate a diet dominated by browse but containing 18% graminoids (data from Wood et al. 2020)","Wood et al. 2020 New Zealand Journal of Ecology","Hindgut Colon",1,"Inferred from Infraclass; Inferred from diet",0,"No empirical evidence nor expert opinions regarding the fermentation type of these birds. Their nearest, albeit distant, relatives are the tinamous of South America (Mitchell et al. 2014, Phillips et al. 2010), who are generalist herbivores with enlarged cecas (Garitano-Zavala et al. 2003). However, given their massive size, and the evolution of colon-based fermentation among other large-bodied ratites (rheas and ostriches), we are going to infer hindgut colon digestion as to the best of our knowledge there are no hindgut ceca fermentating animals of these sizes, and given that other truly herbivorous ratites have colons. However, emus and cassuaries have only simple guts. Also, it should be noted that all ratites lack crops (Sales 2006).","Sales 2006 Avian and Poultry Biology Reviews; Mitchell et al. 2014 Science; Phillips et al. 2010 Systematic Biology; Garitano-Zavala et al. 2003 Ornitologia Neotropical","Digitigrade","Observed Genus",3,"Other than the miharung, which was unguligrade, and loons and grebes, which are plantigrade, all other birds are digitigrade","Gill 2001 Ornithology",0,1,0,"Terrestrial","Inferred from absence of evidence",0,"Most moa species, with the exception of the rarely-preserved North Island species, have had their habitat well-described and ranged low rainforest to high elevation tundra. No description of use of aquatic resources or specialized aquatic adaptions.","Worthy 1990 New Zealand Journal of Zoology"
"189","Eutatus seguini","","Extinct before 1500 CE",0,"Mammalia","Cingulata","CingulataFam",144400,"Method unknown",0,"Primary source inaccessible","Smith et al. 2003 Ecology",0,3,0,"Browser","Browser","Functional craniodental morphology (Genus)",0,"Vizcaino and Bargo 1998 argue based on functional morphology that this species was likely a selective browser.","Vizcaino and Bargo 1998 Paleobiology","Hindgut Colon",1,"Functional craniodental morphology; Inferred from diet; Proxy isotopes (C13, N15)",0,"Likely hindgut, but type unknown. The extant relatives, armadillos, are insectivores and have simple sac stomachs. Some have suggested the same for glyptodonts (Bocherens et al. 2017 Gondwana Research), but it seems impossible that they would sustain their metabolism as obigate herbivores without fermentation. Bocherens et al. (2017 Gondwana Research) found that their isotopic values (for Doedicurus spp, Glyptodon spp, Glyptotherium) suggested either aquatic habitat or a fast fermentation rate. Vizcaino et al. (2011 Ameghiniana) suggested that given the estimated low metabolic rate of Xenarthans but the relatively complex teeth of cingulates compared to sloths, that sloths have more efficient fermentation in digestive tract than glyptodonts. The best evidence indicates that sloths had foregut non-ruminant digestion.  Hindgut digestion is the most  ancestral type, far less derived than foregut fermentation. We will therefore infer that these animals were likely hindgut and also hingut colon, since there are few large mammals that use caecums","Smith et al. 2010 Nature Geoscience; Bocherens et al. 2017 Gondwana Research; Vizcaino et al. 2011 Ameghiniana","Plantigrade","Inferred from Family",2,"Plantigrady is one component of a suite of traits, including armor, low metabolism, ability to withstand hypoxia, and other slow life history habits","Superina and Loughry 2011 Journal of Mammalian Evolution",0,1,0,"Terrestrial","Inferred from absence of evidence",0,"No published evidence of aquatic habitat use in this species. While some extinct glyptodonts have some weak and contradictory evidence suggesting a semi-aquatic habit, we will not make inferences to this taxa.",""
"190","Gazella atlantica","","Extinct before 1500 CE",0,"Mammalia","Cetartiodactyla","Bovidae",44500,"Method unknown",0,"Primary source inaccessible","Smith et al. 2003 Ecology",0,3,0,"Browser","Browser","Expert Opinion",0,"No empirical evidence found.","Smith et al. 2018 Science; Smith et al. 2003 Ecology","Foregut Ruminant",3,"Inferred from Family",2,"Ruminants possess complex foregut digestive systems that are highly efficient at breaking down cellulose and lignin. However, passage to the stomach and intestine, where nutrients are absorbed, is slowed by this very thorough process. This puts chokepoint on their food consumption rates, increases retention length, and increases their need for high-nutrient low-fiber food items. For example, a bovid requires higher nutrient and lower fiber food than a similar sized hindgut fermenting species.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Inferred from Genus; Inferred from absence of evidence",0,"No evidence of aquatic habitat use in this species or extant relatives.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology"
"191","Gazella bennettii","Chinkara","Extant",0,"Mammalia","Cetartiodactyla","Bovidae",18916.7,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",0,3,0,"Browser","Browser","Observed foraging",3,"Foraging observations indicate a strict browsing diet. No fecal analysis studies found.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Dookia and Jakher 2007 Indian Forester; Akbari et al. 2016 Mammalia","Foregut Ruminant",3,"Inferred from Family",2,"Ruminants possess complex foregut digestive systems that are highly efficient at breaking down cellulose and lignin. However, passage to the stomach and intestine, where nutrients are absorbed, is slowed by this very thorough process. This puts chokepoint on their food consumption rates, increases retention length, and increases their need for high-nutrient low-fiber food items. For example, a bovid requires higher nutrient and lower fiber food than a similar sized hindgut fermenting species.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed habitat use",3,"Chinkara dwell in open scrub jungle, ravines, and low foothills.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Akbari et al. 2013 Iranian Journal of Applied Ecology"
"192","Gazella bilkis","Queen of Sheba's Gazelle","Extinct after 1500 CE",0,"Mammalia","Cetartiodactyla","Bovidae",48500,"Method unknown",0,"Primary source inaccessible","Smith et al. 2003 Ecology",0,3,0,"Browser","Browser","Expert Opinion",0,"No empirical evidence found.","Smith et al. 2018 Science; Smith et al. 2003 Ecology","Foregut Ruminant",3,"Inferred from Family",2,"Ruminants possess complex foregut digestive systems that are highly efficient at breaking down cellulose and lignin. However, passage to the stomach and intestine, where nutrients are absorbed, is slowed by this very thorough process. This puts chokepoint on their food consumption rates, increases retention length, and increases their need for high-nutrient low-fiber food items. For example, a bovid requires higher nutrient and lower fiber food than a similar sized hindgut fermenting species.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Inferred from Genus; Inferred from absence of evidence",0,"No evidence of aquatic habitat use in this species or extant relatives","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology"
"193","Gazella cuvieri","Cuvier's Gazelle","Extant",0,"Mammalia","Cetartiodactyla","Bovidae",25000,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",3,3,0,"Mixed Feeder","Mixed Feeder","Observed fecal analysis",3,"Fecal analysis indicates a mixed feeding diet of roughly equal parts graminoids and browse.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Arbouche et al. 2012 Archivos de zootecnia; Benamor et al. 2019 Folia Zoologica","Foregut Ruminant",3,"Inferred from Family",2,"Ruminants possess complex foregut digestive systems that are highly efficient at breaking down cellulose and lignin. However, passage to the stomach and intestine, where nutrients are absorbed, is slowed by this very thorough process. This puts chokepoint on their food consumption rates, increases retention length, and increases their need for high-nutrient low-fiber food items. For example, a bovid requires higher nutrient and lower fiber food than a similar sized hindgut fermenting species.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed habitat use",3,"This gazelle species prefers dry, Mediterranean type forests of Aleppo pine and oaks. Stony and sandy terrain is preferred.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Kingdon et al. 2013 Mammals of Africa"
"194","Gazella dorcas","Dorcas Gazelle","Extant",0,"Mammalia","Cetartiodactyla","Bovidae",23000.1,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",2,3,0,"Mixed Feeder","Mixed Feeder","Observed DNA metabarcoding; Observed fecal analysis",3,"Primarily are browsers but consume annual grasses and forbs during the wet season (Kingdon et al. 2013 Mammals of Africa), forming up to 46% of diet. Otherwise are a minor component (year long average of 26%).","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Kingdon et al. 2013 Mammals of Africa; Baamrane et al. 2012 PLoS One","Foregut Ruminant",3,"Inferred from Family",2,"Ruminants possess complex foregut digestive systems that are highly efficient at breaking down cellulose and lignin. However, passage to the stomach and intestine, where nutrients are absorbed, is slowed by this very thorough process. This puts chokepoint on their food consumption rates, increases retention length, and increases their need for high-nutrient low-fiber food items. For example, a bovid requires higher nutrient and lower fiber food than a similar sized hindgut fermenting species.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed habitat use",3,"This gazelle species occurs across a broad range of habitats including coastal steppe, stony plains, small marshes, Acacia groves, Acacia woodlands, and the margins of rivers. Tends to utilize forested habitats most in the summer, then moving into more open habitats during the cooler seasons.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Kingdon et al. 2013 Mammals of Africa"
"195","Gazella gazella","Mountain Gazelle","Extant",0,"Mammalia","Cetartiodactyla","Bovidae",22749.9,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",3,3,0,"Mixed Feeder","Mixed Feeder","Observed fecal analysis; Observed foraging",3,"Feed on grasses, herbs (forbs), and shrubs according to their availability and habitat, and showing seasonal patterns. May dig for succulent underground plant parts when water is unavailable.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World","Foregut Ruminant",3,"Inferred from Family",2,"Ruminants possess complex foregut digestive systems that are highly efficient at breaking down cellulose and lignin. However, passage to the stomach and intestine, where nutrients are absorbed, is slowed by this very thorough process. This puts chokepoint on their food consumption rates, increases retention length, and increases their need for high-nutrient low-fiber food items. For example, a bovid requires higher nutrient and lower fiber food than a similar sized hindgut fermenting species.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed habitat use",3,"Mountain gazelles inhabit low mountains, sometimes in very steep vertiginous terrain, prefering plateaus, hills, and valleys. No evidence of aquatic habitat use.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology"
"196","Gazella leptoceros","Slender-horned Gazelle","Extant",0,"Mammalia","Cetartiodactyla","Bovidae",22200,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",3,3,0,"Mixed Feeder","Mixed Feeder","Observed foraging",3,"In some parts of range slender-horned gazelles are primarily browsers, in other parts they are grazers","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Kingdon et al. 2013 Mammals of Africa","Foregut Ruminant",3,"Inferred from Family",2,"Ruminants possess complex foregut digestive systems that are highly efficient at breaking down cellulose and lignin. However, passage to the stomach and intestine, where nutrients are absorbed, is slowed by this very thorough process. This puts chokepoint on their food consumption rates, increases retention length, and increases their need for high-nutrient low-fiber food items. For example, a bovid requires higher nutrient and lower fiber food than a similar sized hindgut fermenting species.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed habitat use",3,"This gazelle is an inhabitant of hyper-arid deserts, particularly in sandy depressions and sparse acacia woodlands. They probably had a more extensive range prior to human persecution. No evidence of aquatic habitat use.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Kingdon et al. 2013 Mammals of Africa"
"197","Gazella marica","Arabian Sand Gazelle","Extant",0,"Mammalia","Cetartiodactyla","Bovidae",20200,"Extant species (method unknown, presume measured)",0,"","Wilson and Mittermeier 2011 Handbook of the Mammals of the World",3,3,0,"Mixed Feeder","Mixed Feeder","Observed fecal analysis; Observed foraging",3,"Arabian sand gazelles are desert generalists, eating a variety of chenopods, grasses, and gets water from bitter wild melons. Can survive for long periods without drinking water.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Schulz et al. 2013 Mammalian Biology","Foregut Ruminant",3,"Inferred from Family",2,"Ruminants possess complex foregut digestive systems that are highly efficient at breaking down cellulose and lignin. However, passage to the stomach and intestine, where nutrients are absorbed, is slowed by this very thorough process. This puts chokepoint on their food consumption rates, increases retention length, and increases their need for high-nutrient low-fiber food items. For example, a bovid requires higher nutrient and lower fiber food than a similar sized hindgut fermenting species.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed habitat use",3,"A hyper-arid adapted gazelle inhabiting the sand seas, and peripheral stony deserts, of the Saudia Arabian peninsula.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Cunningham and Watcher 2009 Mammalia"
