Binomial.1.2,pre_domestic_name,k_medoid_herbivore,Order.1.2,Family.1.2,Mass.g,Mass.Method,Mass.Source,Mass.Comparison,Mass.Comparison.Source,guild,Diet.Graminoids,Diet.Browse.Fruit,Diet.Meat_median,Browsing.Grazing.Method,Browsing.Grazing.Source,Browsing.Grazing.Notes,Fermentation.Type,Inferred.Fermentation.Type,Inferred.Fermentation.Efficiency,Fermentation.Type.Method,Fermentation.Type.Source,Fermentation.Type.Notes,Substrate.Aquatic,Substrate.Terrestrial,Substrate.Arboreal,Substrate.Source,Substrate.Notes,Food.Handling,Food.Handling.Source,Foot.Type,Foot.Type.Coarse,Foot.Type.Notes,Foot.Type.Source,Diet.Seed,Diet.Fruit,Diet.Nectar,Diet.Root,Herd.Size,Herd.Size.Notes,Herd.Size.Source,Digging.Rooting,Digging.Rooting.Methods,Digging.Rooting.Notes,Digging.Rooting.Source,Other.Notes,Island.Endemicity,IUCN.Status.1.2,Substrate.Cat,LogMassKg,LogMassKg.cat,LogMassKg.cat.label,GuildSimple,full.FE,simple.FE
Alcelaphus_buselaphus,NA,yes,Cetartiodactyla,Bovidae,171001.5,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,grazer,3,0,0,Estimated,11,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA,Occurs on mainland,LC,terrestrial,2.23299992,"(2.17,2.56]",L4,grazer,FOun_LOl4_FEru_SUte_GUgr,Ll4_Fru_Ggr
Ammodorcas_clarkei,NA,yes,Cetartiodactyla,Bovidae,28049.8,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,browser,0,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Family,0,2,0,0,Gregarious,NA,11,,,,,NA,Occurs on mainland,VU,terrestrial,1.447929769,"(1.39,1.78]",L2,browser,FOun_LOl2_FEru_SUte_GUbr,Ll2_Fru_Gbr
Ammotragus_lervia,NA,yes,Cetartiodactyla,Bovidae,48000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,3,0,Estimated,"1,29",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA,Occurs on mainland,VU,terrestrial,1.681241237,"(1.39,1.78]",L2,mixed feeder,FOun_LOl2_FEru_SUte_GUmi,Ll2_Fru_Gmi
Antidorcas_australis,NA,yes,Cetartiodactyla,Bovidae,40000,Reported,Ecological Archives E084-094 (2003),NA,NA,mixed feeder,3,3,0,Estimated Expert Species,"Tyler Faith, J., & Behrensmeyer, A. K. (2013). Climate change and faunal turnover: testing the mechanics of the turnover-pulse hypothesis with South African fossil data. https://doi.org/10.1666/12043",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Genus,0,0,0,0,NA,NA,NA,,,,,NA,Occurs on mainland,EP,terrestrial,1.602059991,"(1.39,1.78]",L2,mixed feeder,FOun_LOl2_FEru_SUte_GUmi,Ll2_Fru_Gmi
Antidorcas_bondi,NA,yes,Cetartiodactyla,Bovidae,34000,Reported,Ecological Archives E084-094 (2003),NA,NA,grazer,3,1,0,Estimated Isotopes (C13) + Dental wear (mesowear + microwear) Species,"Sewell, L., Merceron, G., Hopley, P. J., Zipfel, B., & Reynolds, S. C. (2018). Using springbok (Antidorcas) dietary proxies to reconstruct inferred palaeovegetational changes over 2 million years in Southern Africa. Journal of Archaeological Science: Reports.",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Genus,0,0,0,0,NA,NA,NA,,,,,NA,Occurs on mainland,EP,terrestrial,1.531478917,"(1.39,1.78]",L2,grazer,FOun_LOl2_FEru_SUte_GUgr,Ll2_Fru_Ggr
Antidorcas_marsupialis,NA,yes,Cetartiodactyla,Bovidae,31500,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Mega-groups,NA,11,,,,,NA,Occurs on mainland,LC,terrestrial,1.498310554,"(1.39,1.78]",L2,mixed feeder,FOun_LOl2_FEru_SUte_GUmi,Ll2_Fru_Gmi
Antilope_cervicapra,NA,yes,Cetartiodactyla,Bovidae,37500,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,2,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA,Occurs on mainland,NT,terrestrial,1.574031268,"(1.39,1.78]",L2,mixed feeder,FOun_LOl2_FEru_SUte_GUmi,Ll2_Fru_Gmi
Arabitragus_jayakari,NA,yes,Cetartiodactyla,Bovidae,23000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,browser,0,3,0,Estimated,"1,30",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Family,0,2,0,0,Solitary/pairs,Source says small groups are sometimes formed as well,1,,,,,NA,Occurs on mainland,EN,terrestrial,1.361727836,"[1,1.39]",L1,browser,FOun_LOl1_FEru_SUte_GUbr,Ll1_Fru_Gbr
Beatragus_hunteri,NA,yes,Cetartiodactyla,Bovidae,80000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,grazer,3,1,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA,Occurs on mainland,CR,terrestrial,1.903089987,"(1.78,2.17]",L3,grazer,FOun_LOl3_FEru_SUte_GUgr,Ll3_Fru_Ggr
Bison_bison,NA,yes,Cetartiodactyla,Bovidae,579255.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,grazer,3,1,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Mega-groups,"Handbook of the mammals of the world speaks about group size up to 480 individuals, which technically below our threshold. However, it also indicates that current group sizes are a lot smaller than the historical sizes were",1,,,,,NA,Occurs on mainland,NT,terrestrial,2.762870016,"(2.56,2.95]",L5,grazer,FOun_LOl5_FEru_SUte_GUgr,Ll5_Fru_Ggr
Bison_bonasus,NA,yes,Cetartiodactyla,Bovidae,5.00E+05,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,grazer,3,1,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA,Occurs on mainland,VU,terrestrial,2.698970004,"(2.56,2.95]",L5,grazer,FOun_LOl5_FEru_SUte_GUgr,Ll5_Fru_Ggr
Bootherium_bombifrons,NA,yes,Cetartiodactyla,Bovidae,3.00E+05,Reported,Ecological Archives E084-094 (2003),NA,NA,browser,1,3,0,Estimated Isotopes (C13+018) Species,"Kohn, M. J., & Mckay, M. P. (2012). Paleoecology of late Pleistoceneâ€“Holocene faunas of eastern and central Wyoming, USA, with implications for LGM climate models. Palaeogeography, Palaeoclimatology, Palaeoecology, 326â€“238, 42â€“53. https://doi.org/10.1016/j.palaeo.2012.01.037",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Family,0,0,0,0,NA,NA,NA,,,,,NA,Occurs on mainland,EP,terrestrial,2.477121255,"(2.17,2.56]",L4,browser,FOun_LOl4_FEru_SUte_GUbr,Ll4_Fru_Gbr
Bos_gaurus,NA,yes,Cetartiodactyla,Bovidae,825000,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,grazer,3,1,0,Estimated,"1, Haleem & Ilyas 2018 Zoolog. Sci",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Genus,0,0,0,0,Gregarious,NA,1,,,,,NA,Occurs on mainland,VU,terrestrial,2.916453949,"(2.56,2.95]",L5,grazer,FOun_LOl5_FEru_SUte_GUgr,Ll5_Fru_Ggr
Bos_javanicus,NA,yes,Cetartiodactyla,Bovidae,7.00E+05,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,grazer,3,1,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA,Occurs on mainland,EN,terrestrial,2.84509804,"(2.56,2.95]",L5,grazer,FOun_LOl5_FEru_SUte_GUgr,Ll5_Fru_Ggr
Bos_mutus,NA,yes,Cetartiodactyla,Bovidae,546250,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,grazer,3,1,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Genus,0,0,0,0,Mega-groups,NA,1,,,,,NA,Occurs on mainland,VU,terrestrial,2.73739145,"(2.56,2.95]",L5,grazer,FOun_LOl5_FEru_SUte_GUgr,Ll5_Fru_Ggr
Bos_primigenius,NA,yes,Cetartiodactyla,Bovidae,9.00E+05,Reported,Ecological Archives E084-094 (2003),NA,NA,grazer,3,1,0,Estimated Observed Species,"Van Vuure, C. T. (2003). De oeros, het spoor terug.; ï»¿Cromsigt, J. P. G. M., Kemp, Y. J. M., Rodriguez, E., & Kivit, H. (2017). Rewilding Europeâ€™s large grazer community: How functionally diverse are the diets of European bison, cattle, and horses? Restoration Ecology, (2016), 1â€“9. https://doi.org/10.1111/rec.12661",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Genus,NA,NA,NA,NA,Gregarious,NA,Inferred,,,,,NA,Occurs on mainland,EX,terrestrial,2.954242509,"(2.95,3.34]",L6,grazer,FOun_LOl6_FEru_SUte_GUgr,Ll6_Fru_Ggr
Bos_sauveli,NA,yes,Cetartiodactyla,Bovidae,8.00E+05,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,grazer,3,1,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA,Occurs on mainland,CR,terrestrial,2.903089987,"(2.56,2.95]",L5,grazer,FOun_LOl5_FEru_SUte_GUgr,Ll5_Fru_Ggr
Bos_taurus,Bos_primigenius,yes,Cetartiodactyla,Bovidae,618642.42,Reported,"Jones, K.E., et al. 2009. PanTHERIA: a species-level database of life history, ecology, and geography of extant and recently extinct mammals. Ecology 90:2648.",NA,NA,grazer,3,1,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,NA,NA,NA,NA,Gregarious,NA,1,,,,,NA,NA,Post-domestic,terrestrial,2.791439696,"(2.56,2.95]",L5,grazer,FOun_LOl5_FEru_SUte_GUgr,Ll5_Fru_Ggr
Boselaphus_tragocamelus,NA,yes,Cetartiodactyla,Bovidae,169000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,2,0,0,Gregarious,NA,1,,,,,NA,Occurs on mainland,LC,terrestrial,2.227886705,"(2.17,2.56]",L4,mixed feeder,FOun_LOl4_FEru_SUte_GUmi,Ll4_Fru_Gmi
Bubalus_arnee,NA,yes,Cetartiodactyla,Bovidae,725000,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,mixed feeder,3,2,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,1,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Genus,0,2,0,0,Gregarious,NA,1,,,,,NA,Occurs on mainland,EN,semi.aquatic,2.860338007,"(2.56,2.95]",L5,mixed feeder,FOun_LOl5_FEru_SUaq_GUmi,Ll5_Fru_Gmi
Bubalus_bubalis,Bubalus_arnee,yes,Cetartiodactyla,Bovidae,725000,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,mixed feeder,3,2,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,1,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,2,0,0,Gregarious,NA,1,,,,,NA,NA,Post-domestic,semi.aquatic,2.860338007,"(2.56,2.95]",L5,mixed feeder,FOun_LOl5_FEru_SUaq_GUmi,Ll5_Fru_Gmi
Bubalus_depressicornis,NA,yes,Cetartiodactyla,Bovidae,3.00E+05,Reported,"Rozzi, R. 2017. A new extinct dwarfed buffalo from Sulawesi and the evolution of the subgenus Anoa: an interdisciplinary perspective. Quaternary Science Reviews 157:188-205.",NA,NA,mixed feeder,3,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,3,0,0,Solitary/pairs,"Handbook of the mammals of the world indicates this is uncertain, as very little is known about the species",1,,,,,NA,Occurs only on isolated islands,EN,terrestrial,2.477121255,"(2.17,2.56]",L4,mixed feeder,FOun_LOl4_FEru_SUte_GUmi,Ll4_Fru_Gmi
Bubalus_grovesi,NA,yes,Cetartiodactyla,Bovidae,313443,Imputed,PHYLACINE 1.2,NA,NA,mixed feeder,3,2,0,Imputed,No data found,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Genus,NA,NA,NA,NA,NA,NA,NA,,,,,NA,Occurs only on isolated islands,EP,terrestrial,2.496158575,"(2.17,2.56]",L4,mixed feeder,FOun_LOl4_FEru_SUte_GUmi,Ll4_Fru_Gmi
Bubalus_mindorensis,NA,yes,Cetartiodactyla,Bovidae,233333.3,Reported,"Rozzi, R. 2017. A new extinct dwarfed buffalo from Sulawesi and the evolution of the subgenus Anoa: an interdisciplinary perspective. Quaternary Science Reviews 157:188-205.",NA,NA,mixed feeder,3,2,0,Estimated,"1,19,34",uncertain,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Solitary/pairs,NA,"1,19",,,,,NA,Occurs only on isolated islands,CR,terrestrial,2.367976723,"(2.17,2.56]",L4,mixed feeder,FOun_LOl4_FEru_SUte_GUmi,Ll4_Fru_Gmi
Bubalus_palaeokerabau,NA,yes,Cetartiodactyla,Bovidae,1125940.4,Assumed isometric based on length of metacarpal,Zoologische Verhandelingen van de Museum Leiden 38:1-112 (1958),Bubalus_arnee,Zoologische Verhandelingen van de Museum Leiden 38:1-112 (1958),grazer,3,0,0,Estimated Isotopes (C13) Species,"Janssen, R., Joordens, J. C. A., Koutamanis, D. S., Puspaningrum, M. R., de Vos, J., van der Lubbe, J. H. J. L., â€_ Vonhof, H. B. (2016). Tooth enamel stable isotopes of Holocene and Pleistocene fossil fauna reveal glacial and interglacial paleoenvironments of hominins in Indonesia. Quaternary Science Reviews, 144, 145â€“154. https://doi.org/10.1016/J.QUASCIREV.2016.02.028",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Genus,0,0,0,0,NA,NA,NA,,,,,NA,Occurs on large land bridge islands,EP,terrestrial,3.051515402,"(2.95,3.34]",L6,grazer,FOun_LOl6_FEru_SUte_GUgr,Ll6_Fru_Ggr
