Binomial.1.2,pre_domestic_name,k_medoid_herbivore,Order.1.2,Family.1.2,Mass.g,Mass.Method,Mass.Source,Mass.Comparison,Mass.Comparison.Source,guild,Diet.Graminoids,Diet.Browse.Fruit,Diet.Meat_median,Browsing.Grazing.Method,Browsing.Grazing.Source,Browsing.Grazing.Notes,Fermentation.Type,Inferred.Fermentation.Type,Inferred.Fermentation.Efficiency,Fermentation.Type.Method,Fermentation.Type.Source,Fermentation.Type.Notes,Foraging.Aquatic,Foraging.Terrestrial,Foraging.Arboreal,Foraging.Stratum.Source,Foraging.Stratum.Notes,Food.Handling,Food.Handling.Source,Foot.Type,Foot.Type.Coarse,Foot.Type.Notes,Foot.Type.Source,Diet.Seed,Diet.Fruit,Diet.Nectar,Diet.Root,Herd.Size,Herd.Size.Notes,Herd.Size.Source,Digging.Rooting,Digging.Rooting.Methods,Digging.Rooting.Notes,Digging.Rooting.Source,Other.Notes
Helarctos_malayanus,NA,no,Carnivora,Ursidae,46500,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,omnivore,0,2,3,Estimated,9,NA,Simple Gut,Simple Gut,0,Reported Order,2,NA,0,1,0,14,NA,Mouth + Hands + extra long tongue,https://animaldiversity.org/accounts/Helarctos_malayanus/,Plantigrade,soft,,Kubo et al. 2019,0,2,0,0,Solitary/pairs,NA,9,,,,,NA
Melursus_ursinus,NA,no,Carnivora,Ursidae,93130,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,omnivore,0,2,3,Estimated,9,NA,Simple Gut,Simple Gut,0,Reported Order,2,NA,0,1,0,14,NA,Mouth + Hands,NA,Plantigrade,soft,,Kubo et al. 2019,0,2,0,0,Solitary/pairs,NA,9,,,,,NA
Tremarctos_floridanus,NA,yes,Carnivora,Ursidae,150000,Reported,Ecological Archives E084-094 (2003),NA,NA,browser,0,3,0,Imputed,"Figueirido, B., & Soibelzon, L. H. (2010). Inferring palaeoecology in extinct tremarctine bears (Carnivora, Ursidae) using geometric morphometrics. Lethaia, 43(2), 209â€“222. https://doi.org/10.1111/j.1502-3931.2009.00184.x",Based on morphological characteristics,Simple Gut,Simple Gut,0,Reported Order,extrapolated based on extant relatives,NA,0,1,0,Inferred from extant relatives,NA,Mouth + Hands,NA,Plantigrade,soft,,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Tremarctos_ornatus,NA,yes,Carnivora,Ursidae,140000.6,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,browser,0,3,0,Estimated,9,NA,Simple Gut,Simple Gut,0,Reported Order,2,NA,0,1,0,14,NA,Mouth + Hands,NA,Plantigrade,soft,,Kubo et al. 2019,0,3,0,0,Solitary/pairs,NA,9,,,,,NA
Ursus_americanus,NA,no,Carnivora,Ursidae,99949.4,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,browser,0,3,1,Estimated,9,NA,Simple Gut,Simple Gut,0,Reported Order,2,NA,0,1,0,14,NA,Mouth + Hands,NA,Plantigrade,soft,,Kubo et al. 2019,0,3,0,3,Solitary/pairs,NA,9,rooting,,,9,NA
Ursus_arctos,NA,yes,Carnivora,Ursidae,180520.4,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,3,1,Estimated,9,NA,Simple Gut,Simple Gut,0,Reported Order,2,NA,0,1,0,14,NA,Mouth + Hands,NA,Plantigrade,soft,,Kubo et al. 2019,0,3,0,3,Solitary/pairs,NA,9,rooting,,,9,NA
Ursus_maritimus,NA,no,Carnivora,Ursidae,388750.4,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,omnivore,0,2,3,Estimated,9,NA,Simple Gut,Simple Gut,0,Reported Order,2,NA,0,1,0,14,NA,Mouth + Hands,NA,Plantigrade,soft,,Kubo et al. 2019,0,2,0,0,Solitary/pairs,NA,9,,,,,NA
Ursus_spelaeus,NA,yes,Carnivora,Ursidae,390416.7,Reported,Annales Zoologica Femnica 36 93-102 (2011),NA,NA,mixed feeder,3,3,0,Estimated Dental wear (microwear) Species,"ï»¿Richards, M. P., Pacher, M., Stiller, M., QuilÃ¨s, J., Hofreiter, M., Constantin, S., â€_ Trinkaus, E. (2008). Isotopic evidence for omnivory among European cave bears: Late Pleistocene Ursus spelaeus from the PeÅŸtera cu Oase, Romania. Proceedings of the National Academy of Sciences of the United States of America, 105(2), 600â€“4. https://doi.org/10.1073/pnas.0711063105; ï»¿Brent Jones, D., Desantis, L. R., DESANTIS Jones, L. R., Jones davisbjones, B., & DeSantis Larisa, L. R. (2016). Dietary Ecology of the Extinct Cave Bear: Evidence of Omnivory as Inferred from Dental Microwear Textures. Acta Palaeontol. Pol, 61(4), 735â€“741. https://doi.org/10.4202/app.00253.2016",NA,Simple Gut,Simple Gut,0,Reported Order,extrapolated based on extant relatives,NA,0,1,0,Inferred from extant relatives,NA,Mouth + Hands,NA,Plantigrade,soft,,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Ursus_thibetanus,NA,no,Carnivora,Ursidae,77500,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,omnivore,0,3,2,Estimated,9,NA,Simple Gut,Simple Gut,0,Reported Order,2,NA,0,1,0,14,NA,Mouth + Hands,NA,Plantigrade,soft,,Kubo et al. 2019,3,3,0,3,Solitary/pairs,NA,9,rooting,,,9,NA
Civettictis_civetta,NA,no,Carnivora,Viverridae,12000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,omnivore,0,3,3,Estimated,9,NA,Simple Gut,Simple Gut,0,Reported Order,2,NA,0,1,0,14,NA,Mouth,NA,Digitigrade,soft,,Kubo et al. 2019,0,3,0,0,Solitary/pairs,NA,9,,,,,NA
Viverra_civettina,NA,no,Carnivora,Viverridae,12793.8,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,omnivore,0,2,3,Imputed,NA,NA,Simple Gut,Simple Gut,0,Reported Order,2,NA,0,1,0,14,NA,Mouth,NA,Digitigrade,soft,,Reported morphology Family,0,2,0,2,Solitary/pairs,NA,9,rooting,,,imputed,NA
Antilocapra_americana,NA,yes,Cetartiodactyla,Antilocapridae,46082.9,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,browser,1,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Capromeryx_minor,NA,yes,Cetartiodactyla,Antilocapridae,10510,Reported,"Davis, M. 2017. What North AmericaÌ¢‰âÂ‰ã¢s skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",NA,NA,browser,0,3,0,Estimated Isotopes (C13) Species,"Bravo-Cuevas, V. M., Jimenez-Hidalgo, E., Cabral-Perdomo, M. A., & Priego-Vargas, J. (2013). Taxonomy and notes on the paleobiology of the late Pleistocene (Rancholabrean) antilocaprids (Mammalia, Artiodactyla, Antilocapridae) from the state of hidalgo, central Mexico. Revista Mexicana de Ciencias Geologicas, 30(3), 601â€“613.",,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Family,0,0,0,0,NA,NA,NA,,,,,NA
Stockoceros_conklingi,NA,yes,Cetartiodactyla,Antilocapridae,51000,Reported,Ecological Archives E084-094 (2003),NA,NA,grazer,3,0,0,Estimated Expert Species,"Davis, M. (2017). What North Americaâ€™s skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Society of London B: Biological Sciences, 284(1846), 1â€“7. https://doi.org/10.1098/rspb.2016.2116",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Family,0,0,0,0,NA,NA,NA,,,,,NA
Tetrameryx_shuleri,NA,yes,Cetartiodactyla,Antilocapridae,60000,Reported,Ecological Archives E084-094 (2003),NA,NA,browser,1,3,0,Estimated Expert Species,"Davis, M. (2017). What North Americaâ€™s skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Society of London B: Biological Sciences, 284(1846), 1â€“7. https://doi.org/10.1098/rspb.2016.2116",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Family,0,0,0,0,NA,NA,NA,,,,,NA
Addax_nasomaculatus,NA,yes,Cetartiodactyla,Bovidae,70000.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,grazer,3,1,0,Estimated,"1,33",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Aepyceros_melampus,NA,yes,Cetartiodactyla,Bovidae,52500.1,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA
Alcelaphus_buselaphus,NA,yes,Cetartiodactyla,Bovidae,171001.5,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,2,0,Estimated,11,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA
Ammodorcas_clarkei,NA,yes,Cetartiodactyla,Bovidae,28049.8,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,browser,0,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Family,0,2,0,0,Gregarious,NA,11,,,,,NA
Ammotragus_lervia,NA,yes,Cetartiodactyla,Bovidae,48000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,3,0,Estimated,"1,29",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA
Antidorcas_australis,NA,yes,Cetartiodactyla,Bovidae,40000,Reported,Ecological Archives E084-094 (2003),NA,NA,mixed feeder,3,3,0,Estimated Expert Species,"Tyler Faith, J., & Behrensmeyer, A. K. (2013). Climate change and faunal turnover: testing the mechanics of the turnover-pulse hypothesis with South African fossil data. https://doi.org/10.1666/12043",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Genus,0,0,0,0,NA,NA,NA,,,,,NA
Antidorcas_bondi,NA,yes,Cetartiodactyla,Bovidae,34000,Reported,Ecological Archives E084-094 (2003),NA,NA,grazer,3,1,0,Estimated Isotopes (C13) + Dental wear (mesowear + microwear) Species,"Sewell, L., Merceron, G., Hopley, P. J., Zipfel, B., & Reynolds, S. C. (2018). Using springbok (Antidorcas) dietary proxies to reconstruct inferred palaeovegetational changes over 2 million years in Southern Africa. Journal of Archaeological Science: Reports.",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Genus,0,0,0,0,NA,NA,NA,,,,,NA
Antidorcas_marsupialis,NA,yes,Cetartiodactyla,Bovidae,31500,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Mega-groups,NA,11,,,,,NA
Antilope_cervicapra,NA,yes,Cetartiodactyla,Bovidae,37500,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,2,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Arabitragus_jayakari,NA,yes,Cetartiodactyla,Bovidae,23000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,browser,0,3,0,Estimated,"1,30",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Family,0,2,0,0,Solitary/pairs,Source says small groups are sometimes formed as well,1,,,,,NA
Beatragus_hunteri,NA,yes,Cetartiodactyla,Bovidae,80000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,grazer,3,1,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA
Bison_bison,NA,yes,Cetartiodactyla,Bovidae,579255.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,grazer,3,1,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Mega-groups,"Handbook of the mammals of the world speaks about group size up to 480 individuals, which technically below our threshold. However, it also indicates that current group sizes are a lot smaller than the historical sizes were",1,,,,,NA
Bison_bonasus,NA,yes,Cetartiodactyla,Bovidae,5.00E+05,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,2,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Bootherium_bombifrons,NA,yes,Cetartiodactyla,Bovidae,3.00E+05,Reported,Ecological Archives E084-094 (2003),NA,NA,browser,1,3,0,Estimated Isotopes (C13+018) Species,"Kohn, M. J., & Mckay, M. P. (2012). Paleoecology of late Pleistoceneâ€“Holocene faunas of eastern and central Wyoming, USA, with implications for LGM climate models. Palaeogeography, Palaeoclimatology, Palaeoecology, 326â€“238, 42â€“53. https://doi.org/10.1016/j.palaeo.2012.01.037",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Family,0,0,0,0,NA,NA,NA,,,,,NA
Bos_gaurus,NA,yes,Cetartiodactyla,Bovidae,825000,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,mixed feeder,3,2,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Genus,0,0,0,0,Gregarious,NA,1,,,,,NA
Bos_javanicus,NA,yes,Cetartiodactyla,Bovidae,7.00E+05,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,grazer,3,1,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Bos_mutus,NA,yes,Cetartiodactyla,Bovidae,546250,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,grazer,3,1,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Genus,0,0,0,0,Mega-groups,NA,1,,,,,NA
