Binomial.1.2,Mass.Source.Formatted,Mass.Source.Original,Mass.Comparison.Source.Formatted,Mass.Comparison.Source.Original,Browsing.Grazing.Source.Formatted,Browsing.Grazing.Method,Browsing.Grazing.Notes,Browsing.Grazing.Source.Original,Fermentation.Type.Source.Formatted,Fermentation.Type.Source.Original,Substrate.Source.Formatted,Substrate.Source.Original,Food.Handling.Source.Formatted,Food.Handling.Source.Original,Foot.Type.Source.Formatted,Foot.Type.Source.Original,Herd.Size.Source.Formatted,Herd.Size.Source.Original,Digging.Rooting.Source.Formatted,Digging.Rooting.Source.Original,k_medoid_herbivore,Mass.Method,Mass.Comparison,Fermentation.Type.Method,Fermentation.Type.Notes,Substrate.Notes,Food.Handling,Food.Handling.Notes,Foot.Type.Coarse,Foot.Type.Notes,Diet.Seed,Diet.Fruit,Diet.Nectar,Diet.Root,Herd.Size,Herd.Size.Notes,Digging.Rooting,Digging.Rooting.Methods,Digging.Rooting.Notes,Other.Notes
Neolicaphrium_recens,Ubilla et al. 2011 Journal of Vertebrate Paleontology,Journal of Vertebrate Paleontology 31: 193-201 (2011),NA,NA,Morosi and Ubilla 2017 Historical Biology,Estimated Isotopes (C13) Species,C13 + hypsodonty,"Morosi, E., & Ubilla, M. (2017). Dietary and palaeoenvironmental inferences in Neolicaphrium recens Frenguelli, 1921 (Litopterna, Proterotheriidae) using carbon and oxygen stable isotopes (Late Pleistocene; Uruguay). Historical Biology, 1â€“7.",Shockey 2001 Acta Palaeontologica Polonica,Shockey 2001,Morosi and Ubilla 2017 Historical Biology,Morosi and Ubilla 2017,Inferred from Morosi and Ubilla 2017 Historical Biology,inferred from Morosi and Ubilla 2017,Morosi and Ubilla 2017 Historical Biology,Morosi and Ubilla 2017,NA,NA,NA,,yes,Estimated based on equation from M1 length,NA,Inferred from morphology - locking knees suggest feeding style akin to rhinos or horses,"Smith et al. 2010 and 2016 claim, without a source, that this group were foregut fermenters. However, available morphological evidence indicates nonruminant bulk fermentation, which at this body size is likely hindgut colon",Open forest environments,Mouth,,hoofed,Monodactyl hooves,NA,3,NA,NA,NA,NA,,,,NA
Sivacobus_sankaliai,Faurby et al. 2018 Ecology,PHYLACINE 1.2,NA,NA,No data found,Imputed,NA,No data found,Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Family,Reported morphology Family,NA,NA,NA,,yes,Imputed,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,0,0,0,NA,NA,,,,NA
Bubalus_grovesi,Faurby et al. 2018 Ecology,PHYLACINE 1.2,NA,NA,No data found,Imputed,NA,No data found,Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,NA,NA,NA,,yes,Imputed,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,NA,NA,NA,NA,NA,NA,,,,NA
Catagonus_stenocephalus,Faurby et al. 2018 Ecology,PHYLACINE 1.2,NA,NA,No data found,Imputed,NA,No data found,Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Gasparini et al. 2008 Alcheringa,"1, 104, Gasparini et al. 2008. A review of the Quaternary Tayassuidae (Mammalia, Artiodactyla) from the Tarija Valley, Bolivia",NA,NA,Reported morphology Family,Reported morphology Family,NA,NA,NA,,yes,Imputed,NA,Reported Family,NA,Arid to semi-arid habitat,Mouth,,hoofed,2-toed unguligrade,NA,NA,NA,NA,NA,NA,,,,NA
Elephas_mnaidriensis,Ferretti 2008 Quaternary International,Quarternary International 182: 90-108 (2008),NA,NA,No data found,Imputed,,No data found,Extrapolated based on extant relatives,extrapolated based on extant relatives,Inferred from extant relatives,Inferred from extant relatives,NA,NA,Reported morphology Order,Reported morphology Order,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,NA,Proboscis,,soft,,NA,NA,NA,NA,NA,NA,,,,NA
Elephas_tiliensis,Herridge and Lister 2012 Proc. of the Royal Society B,Proceedings of the Royal Society of London Series B 279: 3193-3200 (2012),NA,NA,No data found,Imputed,,No data found,Extrapolated based on extant relatives,extrapolated based on extant relatives,Inferred from extant relatives,Inferred from extant relatives,NA,NA,Reported morphology Order,Reported morphology Order,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,NA,Proboscis,,soft,,NA,NA,NA,NA,NA,NA,,,,NA
Tapirus_rondoniensis,Holanda and Ferrero 2013 Journal of Mammalian Evolution,Following Journal of Mammalian Evolution DOI 10.1007/s10914-012-9196-z the differences between the two species appear entirely realted to shape rather than size,NA,NA,No data found,Imputed,NA,No data found,Extrapolated based on extant relatives,extrapolated based on extant relatives,Inferred from extant relatives,Inferred from extant relatives,Inferred from extant species,Inferred from extant spp,Reported limb morphology genus,Reported limb morphology genus,Inferred from extant species,Inferred from extant species,NA,,yes,As relative of suggested similar size,NA,Reported Family,NA,NA,Proboscis,,soft,"Technically unguligrade, but modified with thick fleshy pads to hold weight, therefore functionally more similar to digitigrade",NA,NA,NA,NA,Solitary/pairs,,,,,NA
Amblyrhiza_inundata,Raia et al. 2010 Global Ecology and Biogeography,Global Ecology and Biogeography 19: 475-484 (2010),NA,NA,No data found,Imputed,,No data found,Extrapolated based on extant relatives,Extrapolated based on extant relatives,Inferred,Inferred,NA,NA,Cope 1883 The American Naturalist,"Cope 1883, The Extinct Rodentia of North America. American Naturalist",NA,NA,NA,,yes,Reported,NA,Assumed based on extant relatives,"we included all rodents, however Hume (2002) only mentions 3 subOrder.1.2s, however, he does not specify which ones are not caecum fermenters",No data,NA,,soft,,NA,NA,NA,NA,NA,NA,,,,NA
Tapirus_augustus,Raia et al. 2010 Global Ecology and Biogeography,Global Ecology and Biogeography 19: 475-484 (2010),NA,NA,No data found,Imputed,NA,No data found,Extrapolated based on extant relatives,extrapolated based on extant relatives,Inferred from extant relatives,Inferred from extant relatives,Inferred from extant species,Inferred from extant spp,Reported limb morphology genus,Reported limb morphology genus,Inferred from extant species,Inferred from extant species,NA,,yes,Reported,NA,Reported Family,NA,NA,Proboscis,,soft,"Technically unguligrade, but modified with thick fleshy pads to hold weight, therefore functionally more similar to digitigrade",NA,NA,NA,NA,Solitary/pairs,,,,,NA
Sangamona_fugitiva,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,No data found,Imputed,"""""""""""""""""""""""""""""""""Was Sangamona a
grassland deer, a grazer? The somewhat bovidlike
appearance of its teeth can hardly be regarded
as sufficient evidence"""""""""""""""""""""""""""""""" (Kurten 1979)",No data found,Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Kurten 1979 Boreas,"1, 104, Kurten 1979. The stilt-legged deer Sangamona of the North-American Pleistocene. Boreas 8: 313-321",NA,NA,Reported morphology Family,Reported morphology Family,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,NA,NA,NA,NA,NA,NA,,,,NA
Hystrix_refossa,van Weers 2005 Contributions to Zoology,Contributions to Zoology 74: 301-312 (2005),van Weers 2005 Contributions to Zoology,Contributions to Zoology 74: 301-312 (2005),No data found,Imputed,,No data found,Extrapolated based on extant relatives,Extrapolated based on extant relatives,Inferred,Inferred,NA,NA,Reported morphology Family,Reported morphology family,NA,NA,Inferred from extant relatives,Inferred from extant relatives,yes,Assumed isometric based on teeth size,Hystrix_javanica,Assumed based on extant relatives,"we included all rodents, however Hume (2002) only mentions 3 subOrder.1.2s, however, he does not specify which ones are not caecum fermenters",No data,mouth/tongue,,soft,,NA,NA,NA,NA,NA,NA,Rooting,,,NA
Capreolus_miyakoensis,Zhen 1985 Okinawa Prefectural Board of Education,"Zhen B, Hasegawa Y Capreolus remains, its systematics and paleo-biological problem of Pinza-Azu Cave, Miyako Island, Okinawa, Japan. In: Okinawa Prefectural Board of Education (ed.). Pinza-Abu: Report on excavation of the Pinza-Abu Cave. Okinawa Prefectural Board of Education, Naha, pp. 33-73 (1985)",Zhen 1985 Okinawa Prefectural Board of Education,"Zhen B, Hasegawa Y Capreolus remains, its systematics and paleo-biological problem of Pinza-Azu Cave, Miyako Island, Okinawa, Japan. In: Okinawa Prefectural Board of Education (ed.). Pinza-Abu: Report on excavation of the Pinza-Abu Cave. Okinawa Prefectural Board of Education, Naha, pp. 33-73 (1985)",No data found,Imputed,NA,No data found,Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,NA,NA,NA,,yes,Assumed isometric based on bone size,Capreolus_pygargus,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,NA,NA,NA,NA,NA,NA,,,,NA
Soergelia_minor,Faurby et al. 2018 Ecology,PHYLACINE 1.2,NA,NA,"Palmqvist et al. 2008 Palaeogeography, Palaeoclimatology, Palaeoecology",Estimated Isotopes (C13+018+N15) Species,NA,"Palmqvist, P., PÃ©rez-Claros, J. A., Janis, C. M., & GrÃ¶cke, D. R. (2008). Tracing the ecophysiology of ungulates and predator-prey relationships in an early Pleistocene large mammal community. Palaeogeography, Palaeoclimatology, Palaeoecology, 266(1â€“2), 95â€“111. https://doi.org/10.1016/j.palaeo.2008.03.015",Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Family,Reported morphology Family,NA,NA,NA,,yes,Imputed,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,NA,NA,NA,NA,NA,NA,,,,NA
Praemegaceros_cazioti,Turvey and Fritz 2011 Philos Trans R Soc Lond B,Philosophical Transactions fo the Royal Society of London Series B 366: 2564-2576 (2011),NA,NA,Palombo 2005 Proc. of the International Symposium of Insular Vertebrate Evolution,Estimated Craniodental + Dental wear (mesowear + microwear) Species,NA,"Palombo, M. R. (2005). Food habits of"""""""""""""""""""""""""""""""" Praemegaceros"""""""""""""""""""""""""""""""" cazioti (Deperet, 1897) from Dragonara Cave (NW Sardinia, Italy) inferred from cranial morphology and dental wear. InÂ Proceedings of the International Symposium"""""""""""""""""""""""""""""""" Insular Vertebrate Evolution: the Palaeontological Approach"""""""""""""""""""""""""""""""": September, 16-19 MallorcaÂ (pp. 233-245). Societat d'HistÃ_ria Natural de les Balears.",Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Fanelli et al. 2007 Bollttino della Societa Paleontologica Italiana,"1, 104, Fanelli F. et al. 2007. Tracks and trackways of “Praemegaceros” cazioti (Depéret, 1897)
(Artiodactyla, Cervidae) in Pleistocene coastal deposits from Sardinia
(Western Mediterranean, Italy). Bollettino della Società Paleontologica Italiana 46 (1), 2007, 47-54""""""""""""""""""""""""""""""""",NA,NA,Reported morphology Family,Reported morphology Family,Fanelli et al. 2007 Bollettino della Societa Paleontologica Italiana,"Fanelli F. et al. 2007. Tracks and trackways of “Praemegaceros” cazioti (Depéret, 1897)
(Artiodactyla, Cervidae) in Pleistocene coastal deposits from Sardinia
(Western Mediterranean, Italy). Bollettino della Società Paleontologica Italiana 46 (1), 2007, 47-54",NA,,yes,Reported,NA,Reported Family,NA,"Tracks on beach and in wet sand, but most previous remains are from caves and upland sites",Mouth,,hoofed,2-toed unguligrade,NA,NA,NA,NA,Gregarious,Fossilized footprints of multiple individuals in area,,,,NA
Elephas_antiquus,McPhee and Sues 1999 Springer,"McPhee R. D. E.ÌÎå«ÌÎ_Extinctions in Near Time: Causes, Contexts, and ConsequencesÌÎå«ÌÎ_(1999)",NA,NA,Palombo 2005 Quaternary International; Rivals et al. 2012 Quaternary International,Estimated Isotopes (C13 + 018) + Dental wear (microwear) Species,Also did Sr87,"Palombo, M. R., Filippi, M. L., Iacumin, P., Longinelli, A., Barbieri, M., & Maras, A. (2005). Coupling tooth microwear and stable isotope analyses for palaeodiet reconstruction: the case study of Late Middle Pleistocene Elephas (Palaeoloxodon) antiquus teeth from Central Italy (Rome area). Quaternary International, 126â€“128, 153â€“170. https://doi.org/10.1016/J.QUAINT.2004.04.020; Rivals, F., Semprebon, G., & Lister, A. (2012). An examination of dietary diversity patterns in Pleistocene proboscideans (Mammuthus, Palaeoloxodon, and Mammut) from Europe and North America as revealed by dental microwear. Quaternary International, 255(March), 188â€“195. https://doi.org/10.1016/j.quaint.2011.05.036",Extrapolated based on extant relatives,extrapolated based on extant relatives,Inferred from Palombo 2005 Proc. of the International Symposium of Insular Vertebrate Evolution,Inferred from Palombo et al. 2005,NA,NA,Reported morphology Order,Reported morphology Order,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,Inferred from diet,Proboscis,,soft,,NA,NA,0,0,NA,NA,,,,NA
Ursus_spelaeus,Christiansen 1999 Annales Zoologici Fennici,Annales Zoologica Femnica 36 93-102 (2011),NA,NA,Peigne et al. 2009 PNAS; Richards et al. 2008 PNAS; Jones et al. 2016 Acta Palaeontologica Polonica,Estimated Dental wear (microwear) Species;,NA,"Peigne et al. 2009 PNAS, ï»¿Richards, M. P., Pacher, M., Stiller, M., QuilÃ¨s, J., Hofreiter, M., Constantin, S., â€_ Trinkaus, E. (2008). Isotopic evidence for omnivory among European cave bears: Late Pleistocene Ursus spelaeus from the PeÅŸtera cu Oase, Romania. Proceedings of the National Academy of Sciences of the United States of America, 105(2), 600â€“4. https://doi.org/10.1073/pnas.0711063105; ï»¿Brent Jones, D., Desantis, L. R., DESANTIS Jones, L. R., Jones davisbjones, B., & DeSantis Larisa, L. R. (2016). Dietary Ecology of the Extinct Cave Bear: Evidence of Omnivory as Inferred from Dental Microwear Textures. Acta Palaeontol. Pol, 61(4), 735â€“741. https://doi.org/10.4202/app.00253.2016",Extrapolated based on extant relatives,extrapolated based on extant relatives,Inferred from extant relatives,Inferred from extant relatives,NA,NA,Reported morphology Family,Reported morphology Family,NA,NA,NA,,yes,Reported,NA,Reported Order,NA,NA,Mouth + Hands,,soft,,NA,NA,NA,NA,NA,NA,,,,NA
Catonyx_cuvieri,Cartelle et al. 2009 Journal of Vertebrate Paleontology,Journal of Vertebrate Paleontology 29: 555-566 (2009),Cartelle et al. 2009 Journal of Vertebrate Paleontology,Journal of Vertebrate Paleontology 29:555-566 (2009),Pereira et al. 2013 Journal of South American Earth Sciences,Estimated Expert Species,NA,"Pereira, I. C. dos S., Dantas, M. A. T., & Ferreira, R. L. (2013). Record of the giant sloth Valgipes bucklandi (Lund, 1839) (Tardigrada, Scelidotheriinae) in Rio Grande do Norte state, Brazil, with notes on taphonomy and paleoecology. Journal of South American Earth Sciences, 43, 42â€“45. https://doi.org/10.1016/J.JSAMES.2012.11.004",McDonald and Pelikan 2006 Quaternary International,Mammoths and mylodonts: Exotic species from two different continents in North American Pleistocene faunas,Pujos et al. 2012 Journal of Mammalian Evolution,"Recent Advances on Variability, Morpho-Functional Adaptations, Dental Terminology, and Evolution of Sloths",NA,NA,Naish 2012 Tetrapod Zoology,"Naish, D. August 30, 2012. The anatomy of sloths. Tetrapod zoology. Scientific American. Accessed February 3, 2019",NA,NA,Pujos et al. 2012 Journal of Mammalian Evolution,Pujos et al. 2012,yes,Assumed isometric based on skull size,Valgipes_deformis,Expert Suborder (Sloths),NA,NA,NA,,soft,"Some taxa may have been bipedal, not quantified",NA,NA,NA,NA,NA,NA,Digging/burrowing,Morphology,Adaptations to digging,
Valgipes_bucklandi,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,Pereira et al. 2013 Journal of South American Earth Sciences,Estimated Isotopes (C13) Species,,"Pereira, I. C. dos S., Dantas, M. A. T., & Ferreira, R. L. (2013). Record of the giant sloth Valgipes bucklandi (Lund, 1839) (Tardigrada, Scelidotheriinae) in Rio Grande do Norte state, Brazil, with notes on taphonomy and paleoecology. Journal of South American Earth Sciences, 43, 42â€“45. https://doi.org/10.1016/J.JSAMES.2012.11.004",McDonald and Pelikan 2006 Quaternary International,Mammoths and mylodonts: Exotic species from two different continents in North American Pleistocene faunas,Inferred from close relatives,Inferred from close relatives,NA,NA,Naish 2012 Tetrapod Zoology,"Naish, D. August 30, 2012. The anatomy of sloths. Tetrapod zoology. Scientific American. Accessed February 3, 2019",NA,NA,Pereira et al. 2013 Journal of South American Earth Sciences,Pereira et al. 2013,yes,Reported,NA,Expert Suborder (Sloths),NA,NA,NA,,soft,"Some taxa may have been bipedal, not quantified",NA,2,NA,2,NA,NA,Digging/burrowing/rooting,Morphology,,NA
Mammuthus_columbi,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,Perez Crespo et al. 2010 Paleontology; Rivals et al. 2012 Quaternary International,Estimated Dental wear (microwear) Species + Isotopes (C13) Species,"n=59, all LP","Perez-Crespo et a. 2010. Paleontology. Rivals, F., Semprebon, G., & Lister, A. (2012). An examination of dietary diversity patterns in Pleistocene proboscideans (Mammuthus, Palaeoloxodon, and Mammut) from Europe and North America as revealed by dental microwear. Quaternary International, 255(March), 188â€“195. https://doi.org/10.1016/j.quaint.2011.05.036",Extrapolated based on extant relatives,extrapolated based on extant relatives,Inferred from extant relatives,Inferred from extant relatives,NA,NA,Reported morphology Order,Reported morphology Order,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,NA,Proboscis,,soft,,NA,NA,0,0,NA,NA,,,,NA
Glyptotherium_floridanum,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,Perez Crespo et al. 2012 Geological Magazine,Estimated Isotopes (C13+018) Genus,"Primarily a grazer, but also browse","Perez-Crespo, V. A., Cabrales-Arroyo, J., Alva-Valdivia, L. M., Morales-Puente, P., & Cienfuegos-Alvarado, E. (2012). Diet and habitat definitions for Mexican glyptodonts from Cedral (San Luis PotosÃ_, MÃ©xico) based on stable isotope analysis. Geol. Mag, 149(1), 153â€“157. https://doi.org/10.1017/S0016756811000951",Smith et al. 2010 Nature Geoscience,Smith et al. 2010,Gillette and Ray 1981 Smithsonian Institution Press,Gillette and Ray 1981,Inferred,Inferred,Superina and Loughry 2011 Journal of Mammalian Evolution,Superina and Loughry 2011,NA,NA,NA,,yes,Reported,NA,Inferred: methods unclear but is a likely possibility,"The extant relatives, armadillos, are insectivores and have simple sac stomachs. Some have suggested the same for glyptodonts (Bocherens et al. 2017), but how they could sustain their metabolism as herbivores without fermentation seems dubious. Bocherens et al. 2017 found that their isotopic values (for Doedicurus spp, Glyptodon spp, Glyptotherium) suggested either aquatic habitat or a high fermentation rate. Vizcaino et al. 2011 suggested that given the estimated low metabolic rate of Xenarthans but the relatively complex teeth of cingulates compared to sloths, that sloths have higher fermentation in digestive tract than glyptodonts. These animals were likely hindgut and likely hingut colon, since there are no large mammals that use caecums","Gillette and Ray (1981) argued, based on co-occurrence with fossil capybaras, that these were aquatic grazers. However, biomechanic evidence suggets their feet were too small (Fariña 2005)",Mouth,,soft,,NA,NA,NA,NA,NA,NA,,,,open areas near springs (Perez-Crespo et al. 2012)
Glyptotherium_cylindricum,Davis 2017 Proc. of the Royal Society B,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.","Smithsonian Contributions to Paleobiology 40, 1981",Smithsonian Contributions to Paleobiology 40: 1981,Perez Crespo et al. 2012 Geological Magazine,Estimated Isotopes (C13+018) Genus,"Primarily a grazer, but also browse","Perez-Crespo, V. A., Cabrales-Arroyo, J., Alva-Valdivia, L. M., Morales-Puente, P., & Cienfuegos-Alvarado, E. (2012). Diet and habitat definitions for Mexican glyptodonts from Cedral (San Luis PotosÃ_, MÃ©xico) based on stable isotope analysis. Geol. Mag, 149(1), 153â€“157. https://doi.org/10.1017/S0016756811000951",Smith et al. 2010 Nature Geoscience,Smith et al. 2010,Gillette and Ray 1981 Smithsonian Institution Press,Gillette and Ray 1981,Inferred,Inferred,Superina and Loughry 2011 Journal of Mammalian Evolution,Superina and Loughry 2011,NA,NA,NA,,yes,Reported,Glyptotherium_floridanum,Inferred: methods unclear but is a likely possibility,"The extant relatives, armadillos, are insectivores and have simple sac stomachs. Some have suggested the same for glyptodonts (Bocherens et al. 2017), but how they could sustain their metabolism as herbivores without fermentation seems dubious. Bocherens et al. 2017 found that their isotopic values (for Doedicurus spp, Glyptodon spp, Glyptotherium) suggested either aquatic habitat or a high fermentation rate. Vizcaino et al. 2011 suggested that given the estimated low metabolic rate of Xenarthans but the relatively complex teeth of cingulates compared to sloths, that sloths have higher fermentation in digestive tract than glyptodonts. These animals were likely hindgut and likely hingut colon, since there are no large mammals that use caecums","Gillette and Ray (1981) argued, based on co-occurrence with fossil capybaras, that these were aquatic grazers. However, biomechanic evidence suggets their feet were too small (Fariña 2005)",Mouth,,soft,,NA,NA,NA,NA,NA,NA,,,,open areas near springs (Perez-Crespo et al. 2012)
Diprotodon_optatum,Johnson 2007 Mammal Extinctions,Johnson C Australia‰Û¡Ì_åÁÌÎÌùÌ´åÈs Mammal Extinctions. A 50000 year History (2007),NA,NA,Price et al. 2017 Proc. of the Royal Society B,Estimated Isotopes (C13+018) Species,they also do Sr87,"Price, G. J., Ferguson, K. J., Webb, G. E., Feng, Y.-X., Higgins, P., Nguyen, A. D., â€_ Louys, J. (2017). Seasonal migration of marsupial megafauna in Pleistocene Sahul (Australia-New Guinea). Proceedings. Biological Sciences, 284(1863), 20170785. https://doi.org/10.1098/rspb.2017.0785",Dawson 2006 Alcheringa,Dawson 2006,Australia Museum,https://australianmuseum.net.au/diprotodon-optatum,Australia Museum,https://australianmuseum.net.au/diprotodon-optatum,Australia Museum,https://australianmuseum.net.au/diprotodon-optatum,Price et al. 2017 Proc. of the Royal Society B,Price et al. 2017,NA,,yes,Reported,NA,Extrapolated from extant relatives,"Not clear how author determined this, but Vombatidae and Phascolarctidae are both hindgut fermenters","Open, flat terrain. Apparently absent from hilly/rocky terrain",Mouth,,soft,,NA,NA,NA,NA,Gregarious,Likely migrated in 'mobs',,,,200km annual migrations (Higgins et al. 2017)
Borungaboodie_hatcheri,Johnson 2007 Mammal Extinctions,Johnson C Australia‰Û¡Ì_åÁÌÎÌùÌ´åÈs Mammal Extinctions. A 50000 year History (2007),NA,NA,Prideaux 1999 Records of the Western Australian Museum,Estimated Craniodental Species,"Likely to have fed on seeds, fruits, carrion, insects, fungus, tender browse","Prideaux, G. J. (1999). Borungaboodie hatcheri gen. et sp. nov., a very large bettong (Marsupialia: Macropodoidea) from the Pleistocene of southwestern Australia, 57, 317â€“329. Retrieved from http://museum.wa.gov.au/sites/default/files/26. Prideaux.pdf",Extrapolated based on extant relatives,extrapolated based on extant relatives,Inferred from Prideaux 1999 Records of the Western Australian Museum,Inferred from Prideaux 1999,NA,NA,Youtube of extant family members,Youtube of extant family members,NA,NA,Prideaux 1999 Records of the Western Australian Museum,Prideaux 1999,yes,Reported,NA,Reported Family,NA,Sclerophyll forest,NA,,soft,,3,3,NA,3,NA,NA,rooting,Expert,,NA
Procoptodon_goliah,Johnson 2007 Mammal Extinctions,Johnson C Australia‰Û¡Ì_åÁÌÎÌùÌ´åÈs Mammal Extinctions. A 50000 year History (2007),NA,NA,Prideaux et al. 2009 PNAS,Estimated Isotopes (C13 + 018) + Dental wear (microwear) Species,A chenopod browse specialist,"Prideaux, G. J., Ayliffe, L. K., Desantis, L. R. G., Schubert, B. W., Murray, P. F., Gagan, M. K., â€_ Walker, A. (2009). Extinction implications of a chenopod browse diet for a giant Pleistocene kangaroo. PNAS, 106(28), 11646â€“11650. https://doi.org/10.1073/pnas.0900956106",Extrapolated based on extant relatives,extrapolated based on extant relatives,Inferred from Prideaux 2009 PNAS,"Inferred from Prideaux, G. J., Ayliffe, L. K., Desantis, L. R. G., Schubert, B. W., Murray, P. F., Gagan, M. K., â€_ Walker, A. (2009). Extinction implications of a chenopod browse diet for a giant Pleistocene kangaroo. PNAS, 106(28), 11646â€“11650. https://doi.org/10.1073/pnas.0900956106",NA,NA,Prideaux et al. 2009 PNAS,Prideaux et al. 2009,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,Open flat terrain,?,,hoofed,Monodactyl hoof-like 'unguligrade',NA,NA,NA,NA,NA,NA,,,,High water dependence because of ingestion of salt bush (Prideaux et al. 2009)
Megatherium_tarijense,De Iuliis et al. 2009 Journal of Vertebrate Paleontology,Journal of Vertebrate Paleontology 29: 1244-1251 (2009),De Iuliis et al. 2009 Journal of Vertebrate Paleontology,Journal of Vertebrate Paleontology 29: 1244-1251 (2009),Pujos et al. 2012 Journal of Mammalian Evolution,Estimated Expert Genus,ï»¿width of mandibular symphysis relative to mandibular length,"Pujos, F., Gaudin, T. J., de Iuliis, G., & Cartelle, C. (2012). Recent Advances on Variability, Morpho-Functional Adaptations, Dental Terminology, and Evolution of Sloths. Journal of Mammalian Evolution, 19(3), 159â€“169. https://doi.org/10.1007/s10914-012-",McDonald and Pelikan 2006 Quaternary International,Mammoths and mylodonts: Exotic species from two different continents in North American Pleistocene faunas,Grass 2014 Thesis,Inferring lifestyle and locomotor habits of extinct sloths through scapula morphology and implications for convergent evolution in extant sloths,Bargo et al. 2005 Journal of Morphology,Bargo et al. 2005. Journal of Morphology,Naish 2012 Tetrapod Zoology,"Naish, D. August 30, 2012. The anatomy of sloths. Tetrapod zoology. Scientific American. Accessed February 3, 2019",NA,NA,Pujos et al. 2012 Journal of Mammalian Evolution,Pujos et al. 2012,yes,Assumed isometric based on bone size,Megatherium_americanum,Expert Suborder (Sloths),NA,NA,Prehensile lip,,soft,"Some taxa may have been bipedal, not quantified",NA,NA,NA,NA,NA,NA,absent,Morphology,,NA
Diabolotherium_nordenskioldi,Pujos et al. 2007 Zoological Journal of the Linnean Society,Zoological Journal of the Linnean Society 149: 179-235 (2007),NA,NA,Pujos et al. 2012 Journal of Mammalian Evolution,Estimated Expert Genus,ï»¿This is based on width of mandibular symphysis relative to mandibular length. This is an unusual measure so we classify it as expert judgement.,"Pujos, F., Gaudin, T. J., de Iuliis, G., & Cartelle, C. (2012). Recent Advances on Variability, Morpho-Functional Adaptations, Dental Terminology, and Evolution of Sloths. Journal of Mammalian Evolution, 19(3), 159â€“169. https://doi.org/10.1007/s10914-012-9189-y",McDonald and Pelikan 2006 Quaternary International,Mammoths and mylodonts: Exotic species from two different continents in North American Pleistocene faunas,Pujos et al. 2007 Zoological Journal of the Linnean Society,A peculiar climbing Megalonychidae from the Pleistocene of Peru and its implication for sloth history,NA,NA,Naish 2012 Tetrapod Zoology,"Naish, D. August 30, 2012. The anatomy of sloths. Tetrapod zoology. Scientific American. Accessed February 3, 2019",NA,NA,Pujos et al. 2012 Journal of Mammalian Evolution,Pujos et al. 2012,yes,As relative of suggested similar size,Parocnus_browni,Expert Suborder (Sloths),NA,Morphology suggests strong adaptations to climbing - either cliffs or trees,NA,,soft,"Some taxa may have been bipedal, not quantified",NA,NA,NA,NA,NA,NA,absent,Morphology,,Rock-climber (Pujos et al. 2012)
